RefDes     X          Y          Rot.       Exact     (FREE)    Side
R54        1120.0000  6770.0000  000        EXACT     (FREE)    Top                           
R55        3455.0000  4965.0000  000        EXACT     (FREE)    Top                           
R56        3455.0000  5035.0000  000        EXACT     (FREE)    Top                           
R57        1120.0000  6670.0000  000        EXACT     (FREE)    Top                           
R58        3455.0000  5110.0000  000        EXACT     (FREE)    Top                           
R59        3455.0000  5185.0000  000        EXACT     (FREE)    Top                           
R60        1075.0000  6520.0000  000        EXACT     (FREE)    Top                           
R61        3455.0000  5260.0000  000        EXACT     (FREE)    Top                           
R62        582.5000   6280.0000  180        EXACT     (FREE)    Top                           
R63        1072.5000  6230.0000  000        EXACT     (FREE)    Top                           
R64        1072.5000  6150.0000  000        EXACT     (FREE)    Top                           
R65        582.5000   5980.0000  180        EXACT     (FREE)    Top                           
R66        1072.5000  5930.0000  000        EXACT     (FREE)    Top                           
R67        1072.5000  5850.0000  000        EXACT     (FREE)    Top                           
R68        582.5000   5680.0000  180        EXACT     (FREE)    Top                           
R69        1072.5000  5630.0000  000        EXACT     (FREE)    Top                           
R70        1072.5000  5550.0000  000        EXACT     (FREE)    Top                           
R71        582.5000   5380.0000  180        EXACT     (FREE)    Top                           
R72        1072.5000  5330.0000  000        EXACT     (FREE)    Top                           
R73        1072.5000  5250.0000  000        EXACT     (FREE)    Top                           
R74        582.5000   5080.0000  180        EXACT     (FREE)    Top                           
R75        1072.5000  5030.0000  000        EXACT     (FREE)    Top                           
R76        1072.5000  4950.0000  000        EXACT     (FREE)    Top                           
R77        582.5000   4780.0000  180        EXACT     (FREE)    Top                           
R78        1072.5000  4730.0000  000        EXACT     (FREE)    Top                           
R79        1072.5000  4650.0000  000        EXACT     (FREE)    Top                           
R80        582.5000   4480.0000  180        EXACT     (FREE)    Top                           
R81        1072.5000  4430.0000  000        EXACT     (FREE)    Top                           
R82        1072.5000  4350.0000  000        EXACT     (FREE)    Top                           
R83        582.5000   4180.0000  180        EXACT     (FREE)    Top                           
R84        1072.5000  4130.0000  000        EXACT     (FREE)    Top                           
R85        1072.5000  4050.0000  000        EXACT     (FREE)    Top                           
R86        942.5000   3925.0000  000        EXACT     (FREE)    Top                           
R87        742.5000   3920.0000  000        EXACT     (FREE)    Top                           
R88        1562.5000  6270.0000  000        EXACT     (FREE)    Top                           
R89        1742.5000  6270.0000  180        EXACT     (FREE)    Top                           
R90        2002.5000  6130.0000  180        EXACT     (FREE)    Top                           
R91        2002.5000  6200.0000  180        EXACT     (FREE)    Top                           
R92        2292.5000  6000.0000  000        EXACT     (FREE)    Top                           
R93        2002.5000  5920.0000  000        EXACT     (FREE)    Top                           
R94        2002.5000  6060.0000  180        EXACT     (FREE)    Top                           
R95        2002.5000  5990.0000  180        EXACT     (FREE)    Top                           
R96        2142.5000  5920.0000  000        EXACT     (FREE)    Top                           
R97        2252.5000  5770.0000  270        EXACT     (FREE)    Top                           
R98        2292.5000  5930.0000  000        EXACT     (FREE)    Top                           
R99        970.0000   6770.0000  180        EXACT     (FREE)    Top                           
R100       530.0000   6770.0000  180        EXACT     (FREE)    Top                           
R101       970.0000   6670.0000  000        EXACT     (FREE)    Top                           
R102       445.0000   6500.0000  270        EXACT     (FREE)    Top                           
R103       442.5000   6220.0000  270        EXACT     (FREE)    Top                           
R104       442.5000   5920.0000  270        EXACT     (FREE)    Top                           
R105       442.5000   5620.0000  270        EXACT     (FREE)    Top                           
R106       442.5000   5320.0000  270        EXACT     (FREE)    Top                           
R107       442.5000   3920.0000  180        EXACT     (FREE)    Top                           
R108       3455.0000  5335.0000  000        EXACT     (FREE)    Top                           
R109       442.5000   5020.0000  270        EXACT     (FREE)    Top                           
R110       442.5000   4720.0000  270        EXACT     (FREE)    Top                           
R111       442.5000   4420.0000  270        EXACT     (FREE)    Top                           
R112       442.5000   4120.0000  270        EXACT     (FREE)    Top                           
R113       1632.5000  1740.0000  270        EXACT     (FREE)    Top                           
R114       1712.5000  1740.0000  270        EXACT     (FREE)    Top                           
R115       1792.5000  1740.0000  270        EXACT     (FREE)    Top                           
R116       1872.5000  1740.0000  270        EXACT     (FREE)    Top                           
R117       1952.5000  1740.0000  270        EXACT     (FREE)    Top                           
R118       1632.5000  1540.0000  270        EXACT     (FREE)    Top                           
R119       1712.5000  1540.0000  270        EXACT     (FREE)    Top                           
R120       1792.5000  1540.0000  270        EXACT     (FREE)    Top                           
R121       1872.5000  1540.0000  270        EXACT     (FREE)    Top                           
R122       1952.5000  1540.0000  270        EXACT     (FREE)    Top                           
R123       2032.5000  6790.0000  090        EXACT     (FREE)    Top                           
R124       1952.5000  6790.0000  090        EXACT     (FREE)    Top                           
R125       1872.5000  6790.0000  090        EXACT     (FREE)    Top                           
R126       1792.5000  6790.0000  090        EXACT     (FREE)    Top                           
R127       1712.5000  6790.0000  090        EXACT     (FREE)    Top                           
R128       2032.5000  6580.0000  090        EXACT     (FREE)    Top                           
R129       1952.5000  6580.0000  090        EXACT     (FREE)    Top                           
R130       1872.5000  6580.0000  090        EXACT     (FREE)    Top                           
R131       1792.5000  6580.0000  090        EXACT     (FREE)    Top                           
R132       1712.5000  6580.0000  090        EXACT     (FREE)    Top                           
R133       2172.5000  1740.0000  180        EXACT     (FREE)    Top                           
R134       1575.0000  6745.0000  000        EXACT     (FREE)    Top                           
R135       2692.5000  910.0000   090        EXACT     (FREE)    Top                           
R136       2772.5000  910.0000   090        EXACT     (FREE)    Top                           
R137       2612.5000  910.0000   090        EXACT     (FREE)    Top                           
R138       2582.5000  1350.0000  090        EXACT     (FREE)    Top                           
R139       2472.5000  1420.0000  090        EXACT     (FREE)    Top                           
R140       2362.5000  1380.0000  270        EXACT     (FREE)    Top                           
R141       2595.0000  1802.5000  270        EXACT     (FREE)    Top                           
R142       2772.5000  1050.0000  000        EXACT     (FREE)    Top                           
R143       2772.5000  1130.0000  000        EXACT     (FREE)    Top                           
R144       2582.5000  1170.0000  270        EXACT     (FREE)    Top                           
R145       2662.5000  1170.0000  270        EXACT     (FREE)    Top                           
R146       2282.5000  1380.0000  090        EXACT     (FREE)    Top                           
R147       2202.5000  1380.0000  270        EXACT     (FREE)    Top                           
R148       2332.5000  1700.0000  180        EXACT     (FREE)    Top                           
R149       1742.5000  3285.0000  270        EXACT     (FREE)    Top                           
R150       1812.5000  3285.0000  090        EXACT     (FREE)    Top                           
R151       1742.5000  4440.0000  090        EXACT     (FREE)    Top                           
R152       1817.5000  4440.0000  270        EXACT     (FREE)    Top                           
R153       662.5000   3670.0000  270        EXACT     (FREE)    Top                           
R154       662.5000   3370.0000  270        EXACT     (FREE)    Top                           
R155       662.5000   3070.0000  270        EXACT     (FREE)    Top                           
R156       672.5000   2780.0000  270        EXACT     (FREE)    Top                           
R157       672.5000   2480.0000  270        EXACT     (FREE)    Top                           
R158       672.5000   2180.0000  270        EXACT     (FREE)    Top                           
